product,LPA3 NAVAIR
    LPA SETTINGS
test_reference,CALIBRATED
threshold0, 62
threshold1, 156
threshold2, 1030
threshold3, 2174
threshold4, 3248
threshold5, 9938
threshold6, 15300
threshold7, 25000
effective_slit_width,60
effective_slit_height,300
divergence_milliradians,519
channel_depth,500
calibration_led_level_initial,12084
calibration_led_level_last,98.68
calibration_led_level_alarm,50
calibration_date_last,1747321318
calibration_date_next,1778857318
repeat_n,0
result_format,0
test_mode,0
wait_time_s,0
test_number,22
CycleCount,0
last_download,2147483648
time_stamp,0
source_drive,0
continous_mode_confirm_target_n,0
pump_target_flow_ml_min,30
pump_flow_emptying_ml_min,150
sample_volume_ml,50
flush_time_s,30
test_sequence,2
sample_portions,1
threshold32_4,62
threshold32_5,104
threshold32_6,156
threshold32_7,224
threshold32_8,309
threshold32_9,408
threshold32_10,518
threshold32_11,638
threshold32_12,765
threshold32_13,896
threshold32_14,1030
threshold32_15,1165
threshold32_16,1303
threshold32_17,1449
threshold32_18,1605
threshold32_19,1775
threshold32_20,1964
threshold32_21,2174
threshold32_22,2408
threshold32_23,2666
threshold32_24,2947
threshold32_25,3248
threshold32_26,3569
threshold32_27,3906
threshold32_28,4258
threshold32_29,4621
threshold32_30,4992
threshold32_38,7924
threshold32_50,11082
threshold32_70,16002
threshold32_0,0
threshold32_0,0
channel_width,750
model_name,LPA3 NAVAIR
option_bits,1056
MEASURED PARAMETERS
verification_count_1_0,1088634
verification_count_1_1,428641
verification_count_1_2,29880
verification_count_1_3,7228
verification_count_1_4,3305
verification_count_1_5,546
verification_count_1_6,211
verification_count_1_7,47
verification_count_2_0,1093571
verification_count_2_1,432697
verification_count_2_2,30121
verification_count_2_3,7395
verification_count_2_4,3462
verification_count_2_5,574
verification_count_2_6,213
verification_count_2_7,68
verification_count_3_0,1096106
verification_count_3_1,430829
verification_count_3_2,29857
verification_count_3_3,7133
verification_count_3_4,3295
verification_count_3_5,548
verification_count_3_6,244
verification_count_3_7,60
reference_count_0,1.09259e+06
reference_count_1,429328
reference_count_2,30547.2
reference_count_3,7599.16
reference_count_4,3578.73
reference_count_5,562.157
reference_count_6,215.828
reference_count_7,50.1926
Measured Counter Data
pump_current_sampling,32
pump_current_emptying,284
led_level,11925
no_noise_threshold,36
CALIBRATION DOCUMENT VALUES
date_,45792.7
serial_number_,1117100009
    RIG PARAMETERS
meas_init_level,12.49
calc_init_volume,12.49
desired_concentration,5
calc_qty_add,62.45
meas_qty_add,62.54
meas_final_level,12.46
calc_volume,12.46
calc_concentration,5.01926
rig_param_volume_mult,-1
rig_param_volume_constant,0
rig_param_identifier,303
rig_cleanliness_count,0
