product,LPA3 NAVAIR
    LPA SETTINGS
test_reference,CALIBRATED
threshold0, 52
threshold1, 126
threshold2, 864
threshold3, 1928
threshold4, 2976
threshold5, 9938
threshold6, 15300
threshold7, 25000
effective_slit_width,60
effective_slit_height,300
divergence_milliradians,519
channel_depth,500
calibration_led_level_initial,11096
calibration_led_level_last,99.13
calibration_led_level_alarm,50
calibration_date_last,1747321319
calibration_date_next,1778857319
repeat_n,0
result_format,0
test_mode,0
wait_time_s,0
test_number,23
CycleCount,0
last_download,2147483648
time_stamp,0
source_drive,0
continous_mode_confirm_target_n,0
pump_target_flow_ml_min,30
pump_flow_emptying_ml_min,150
sample_volume_ml,50
flush_time_s,30
test_sequence,2
sample_portions,1
threshold32_4,52
threshold32_5,85
threshold32_6,126
threshold32_7,181
threshold32_8,250
threshold32_9,331
threshold32_10,423
threshold32_11,524
threshold32_12,632
threshold32_13,746
threshold32_14,864
threshold32_15,985
threshold32_16,1111
threshold32_17,1246
threshold32_18,1392
threshold32_19,1552
threshold32_20,1730
threshold32_21,1928
threshold32_22,2150
threshold32_23,2397
threshold32_24,2671
threshold32_25,2976
threshold32_26,3311
threshold32_27,3674
threshold32_28,4060
threshold32_29,4466
threshold32_30,4886
threshold32_38,8276
threshold32_50,11816
threshold32_70,18026
threshold32_0,0
threshold32_0,0
channel_width,750
model_name,LPA3 NAVAIR
option_bits,1056
MEASURED PARAMETERS
verification_count_1_0,1088258
verification_count_1_1,426417
verification_count_1_2,31498
verification_count_1_3,7723
verification_count_1_4,3653
verification_count_1_5,525
verification_count_1_6,198
verification_count_1_7,39
verification_count_2_0,1093077
verification_count_2_1,429753
verification_count_2_2,30576
verification_count_2_3,7569
verification_count_2_4,3595
verification_count_2_5,526
verification_count_2_6,195
verification_count_2_7,55
verification_count_3_0,1099016
verification_count_3_1,431441
verification_count_3_2,30786
verification_count_3_3,7376
verification_count_3_4,3330
verification_count_3_5,518
verification_count_3_6,203
verification_count_3_7,67
reference_count_0,1.09259e+06
reference_count_1,429328
reference_count_2,30547.2
reference_count_3,7599.16
reference_count_4,3578.73
reference_count_5,562.157
reference_count_6,215.828
reference_count_7,50.1926
Measured Counter Data
pump_current_sampling,30
pump_current_emptying,320
led_level,11000
no_noise_threshold,39
CALIBRATION DOCUMENT VALUES
date_,45792.7
serial_number_,1117100015
    RIG PARAMETERS
meas_init_level,12.49
calc_init_volume,12.49
desired_concentration,5
calc_qty_add,62.45
meas_qty_add,62.54
meas_final_level,12.46
calc_volume,12.46
calc_concentration,5.01926
rig_param_volume_mult,-1
rig_param_volume_constant,0
rig_param_identifier,303
rig_cleanliness_count,0
