product,LPA3 NAVAIR
    LPA SETTINGS
test_reference,CALIBRATED
threshold0, 58
threshold1, 150
threshold2, 1010
threshold3, 2152
threshold4, 3256
threshold5, 9938
threshold6, 15300
threshold7, 25000
effective_slit_width,60
effective_slit_height,300
divergence_milliradians,519
channel_depth,500
calibration_led_level_initial,12293
calibration_led_level_last,99.84
calibration_led_level_alarm,50
calibration_date_last,1747308133
calibration_date_next,1778844133
repeat_n,0
result_format,0
test_mode,0
wait_time_s,0
test_number,10
CycleCount,0
last_download,2147483648
time_stamp,0
source_drive,4095
continous_mode_confirm_target_n,0
pump_target_flow_ml_min,30
pump_flow_emptying_ml_min,150
sample_volume_ml,50
flush_time_s,30
test_sequence,2
sample_portions,1
threshold32_4,58
threshold32_5,99
threshold32_6,150
threshold32_7,217
threshold32_8,301
threshold32_9,398
threshold32_10,507
threshold32_11,625
threshold32_12,750
threshold32_13,879
threshold32_14,1010
threshold32_15,1142
threshold32_16,1278
threshold32_17,1421
threshold32_18,1576
threshold32_19,1747
threshold32_20,1938
threshold32_21,2152
threshold32_22,2393
threshold32_23,2659
threshold32_24,2948
threshold32_25,3256
threshold32_26,3582
threshold32_27,3923
threshold32_28,4277
threshold32_29,4643
threshold32_30,5017
threshold32_38,8080
threshold32_50,11900
threshold32_70,17086
threshold32_0,0
threshold32_0,0
channel_width,750
model_name,LPA3 NAVAIR
option_bits,1056
MEASURED PARAMETERS
verification_count_1_0,1083885
verification_count_1_1,425064
verification_count_1_2,29276
verification_count_1_3,7158
verification_count_1_4,3434
verification_count_1_5,532
verification_count_1_6,216
verification_count_1_7,56
verification_count_2_0,1082044
verification_count_2_1,424537
verification_count_2_2,29339
verification_count_2_3,7202
verification_count_2_4,3337
verification_count_2_5,567
verification_count_2_6,183
verification_count_2_7,47
verification_count_3_0,1080510
verification_count_3_1,423216
verification_count_3_2,29675
verification_count_3_3,7419
verification_count_3_4,3475
verification_count_3_5,594
verification_count_3_6,211
verification_count_3_7,75
reference_count_0,1.08491e+06
reference_count_1,426311
reference_count_2,30332.6
reference_count_3,7545.78
reference_count_4,3553.59
reference_count_5,558.208
reference_count_6,214.312
reference_count_7,49.84
Measured Counter Data
pump_current_sampling,24
pump_current_emptying,302
led_level,12273
no_noise_threshold,35
CALIBRATION DOCUMENT VALUES
date_,45792.5
serial_number_,1117100017
    RIG PARAMETERS
meas_init_level,12.52
calc_init_volume,12.52
desired_concentration,5
calc_qty_add,62.6
meas_qty_add,62.3
meas_final_level,12.5
calc_volume,12.5
calc_concentration,4.984
rig_param_volume_mult,-1
rig_param_volume_constant,0
rig_param_identifier,303
rig_cleanliness_count,0
