product,LPA3 NAVAIR
    LPA SETTINGS
test_reference,CALIBRATED
threshold0, 64
threshold1, 168
threshold2, 1020
threshold3, 2072
threshold4, 2958
threshold5, 9938
threshold6, 15300
threshold7, 25000
effective_slit_width,60
effective_slit_height,300
divergence_milliradians,519
channel_depth,500
calibration_led_level_initial,11767
calibration_led_level_last,100
calibration_led_level_alarm,50
calibration_date_last,1747391725
calibration_date_next,1778927725
repeat_n,0
result_format,0
test_mode,0
wait_time_s,0
test_number,36
CycleCount,0
last_download,2147483648
time_stamp,0
source_drive,4095
continous_mode_confirm_target_n,0
pump_target_flow_ml_min,30
pump_flow_emptying_ml_min,150
sample_volume_ml,20
flush_time_s,30
test_sequence,2
sample_portions,1
threshold32_4,64
threshold32_5,112
threshold32_6,168
threshold32_7,238
threshold32_8,323
threshold32_9,420
threshold32_10,527
threshold32_11,643
threshold32_12,765
threshold32_13,891
threshold32_14,1020
threshold32_15,1150
threshold32_16,1283
threshold32_17,1422
threshold32_18,1567
threshold32_19,1723
threshold32_20,1890
threshold32_21,2072
threshold32_22,2270
threshold32_23,2484
threshold32_24,2714
threshold32_25,2958
threshold32_26,3216
threshold32_27,3487
threshold32_28,3768
threshold32_29,4058
threshold32_30,4354
threshold32_38,6708
threshold32_50,9612
threshold32_70,16064
threshold32_0,0
threshold32_0,0
channel_width,750
model_name,LPA3 NAVAIR
option_bits,17440
MEASURED PARAMETERS
verification_count_1_0,1091158
verification_count_1_1,430248
verification_count_1_2,31725
verification_count_1_3,7690
verification_count_1_4,3903
verification_count_1_5,591
verification_count_1_6,244
verification_count_1_7,30
verification_count_2_0,1095478
verification_count_2_1,430912
verification_count_2_2,30264
verification_count_2_3,7474
verification_count_2_4,3587
verification_count_2_5,592
verification_count_2_6,245
verification_count_2_7,40
verification_count_3_0,1095854
verification_count_3_1,429816
verification_count_3_2,31088
verification_count_3_3,7861
verification_count_3_4,3606
verification_count_3_5,713
verification_count_3_6,295
verification_count_3_7,101
reference_count_0,1.09049e+06
reference_count_1,428505
reference_count_2,30488.7
reference_count_3,7584.6
reference_count_4,3571.88
reference_count_5,561.08
reference_count_6,215.415
reference_count_7,50.0965
Measured Counter Data
pump_current_sampling,34
pump_current_emptying,297
led_level,11767
no_noise_threshold,37
CALIBRATION DOCUMENT VALUES
date_,45793.5
serial_number_,1117100007
    RIG PARAMETERS
meas_init_level,12.44
calc_init_volume,12.44
desired_concentration,5
calc_qty_add,62.2
meas_qty_add,62.32
meas_final_level,12.44
calc_volume,12.44
calc_concentration,5.00965
rig_param_volume_mult,-1
rig_param_volume_constant,0
rig_param_identifier,303
rig_cleanliness_count,0
