product,LPA3 NAVAIR
    LPA SETTINGS
test_reference,CALIBRATED
threshold0, 78
threshold1, 172
threshold2, 962
threshold3, 1938
threshold4, 2834
threshold5, 9938
threshold6, 15300
threshold7, 25000
effective_slit_width,60
effective_slit_height,300
divergence_milliradians,519
channel_depth,500
calibration_led_level_initial,11546
calibration_led_level_last,100.32
calibration_led_level_alarm,50
calibration_date_last,1747404971
calibration_date_next,1778940971
repeat_n,0
result_format,0
test_mode,0
wait_time_s,0
test_number,23
CycleCount,0
last_download,2147483648
time_stamp,0
source_drive,4095
continous_mode_confirm_target_n,0
pump_target_flow_ml_min,30
pump_flow_emptying_ml_min,150
sample_volume_ml,50
flush_time_s,30
test_sequence,2
sample_portions,1
threshold32_4,78
threshold32_5,121
threshold32_6,172
threshold32_7,237
threshold32_8,316
threshold32_9,406
threshold32_10,506
threshold32_11,614
threshold32_12,727
threshold32_13,844
threshold32_14,962
threshold32_15,1080
threshold32_16,1201
threshold32_17,1327
threshold32_18,1460
threshold32_19,1605
threshold32_20,1763
threshold32_21,1938
threshold32_22,2132
threshold32_23,2345
threshold32_24,2579
threshold32_25,2834
threshold32_26,3109
threshold32_27,3404
threshold32_28,3714
threshold32_29,4038
threshold32_30,4372
threshold32_38,7128
threshold32_50,10398
threshold32_70,15402
threshold32_0,0
threshold32_0,0
channel_width,750
model_name,LPA3 NAVAIR
option_bits,1056
MEASURED PARAMETERS
verification_count_1_0,1085952
verification_count_1_1,426762
verification_count_1_2,29887
verification_count_1_3,7162
verification_count_1_4,3467
verification_count_1_5,518
verification_count_1_6,221
verification_count_1_7,64
verification_count_2_0,1085160
verification_count_2_1,427088
verification_count_2_2,29515
verification_count_2_3,7494
verification_count_2_4,3369
verification_count_2_5,500
verification_count_2_6,197
verification_count_2_7,20
verification_count_3_0,1090897
verification_count_3_1,427674
verification_count_3_2,30688
verification_count_3_3,7684
verification_count_3_4,3537
verification_count_3_5,568
verification_count_3_6,221
verification_count_3_7,64
reference_count_0,1.09049e+06
reference_count_1,428505
reference_count_2,30488.7
reference_count_3,7584.6
reference_count_4,3571.88
reference_count_5,561.08
reference_count_6,215.415
reference_count_7,50.0965
Measured Counter Data
pump_current_sampling,25
pump_current_emptying,296
led_level,11583
no_noise_threshold,661
CALIBRATION DOCUMENT VALUES
date_,45793.6
serial_number_,1117100011
    RIG PARAMETERS
meas_init_level,12.44
calc_init_volume,12.44
desired_concentration,5
calc_qty_add,62.2
meas_qty_add,62.32
meas_final_level,12.44
calc_volume,12.44
calc_concentration,5.00965
rig_param_volume_mult,-1
rig_param_volume_constant,0
rig_param_identifier,303
rig_cleanliness_count,0
