product,LPA3 NAVAIR
    LPA SETTINGS
test_reference,CALIBRATED
threshold0, 60
threshold1, 148
threshold2, 932
threshold3, 1910
threshold4, 2754
threshold5, 9938
threshold6, 15300
threshold7, 25000
effective_slit_width,60
effective_slit_height,300
divergence_milliradians,519
channel_depth,500
calibration_led_level_initial,11485
calibration_led_level_last,100
calibration_led_level_alarm,50
calibration_date_last,1747388644
calibration_date_next,1778924644
repeat_n,0
result_format,0
test_mode,0
wait_time_s,0
test_number,7
CycleCount,0
last_download,2147483648
time_stamp,0
source_drive,4095
continous_mode_confirm_target_n,0
pump_target_flow_ml_min,30
pump_flow_emptying_ml_min,150
sample_volume_ml,20
flush_time_s,30
test_sequence,2
sample_portions,1
threshold32_4,60
threshold32_5,100
threshold32_6,148
threshold32_7,210
threshold32_8,287
threshold32_9,375
threshold32_10,474
threshold32_11,581
threshold32_12,694
threshold32_13,812
threshold32_14,932
threshold32_15,1053
threshold32_16,1177
threshold32_17,1306
threshold32_18,1441
threshold32_19,1586
threshold32_20,1741
threshold32_21,1910
threshold32_22,2094
threshold32_23,2295
threshold32_24,2515
threshold32_25,2754
threshold32_26,3014
threshold32_27,3294
threshold32_28,3589
threshold32_29,3897
threshold32_30,4217
threshold32_38,6818
threshold32_50,9922
threshold32_70,16498
threshold32_0,0
threshold32_0,0
channel_width,750
model_name,LPA3 NAVAIR
option_bits,1056
MEASURED PARAMETERS
verification_count_1_0,1094600
verification_count_1_1,438268
verification_count_1_2,30362
verification_count_1_3,7537
verification_count_1_4,3614
verification_count_1_5,486
verification_count_1_6,151
verification_count_1_7,40
verification_count_2_0,1090574
verification_count_2_1,436037
verification_count_2_2,31126
verification_count_2_3,7916
verification_count_2_4,3415
verification_count_2_5,404
verification_count_2_6,171
verification_count_2_7,40
verification_count_3_0,1098852
verification_count_3_1,437127
verification_count_3_2,31277
verification_count_3_3,7696
verification_count_3_4,3872
verification_count_3_5,697
verification_count_3_6,242
verification_count_3_7,70
reference_count_0,1.09049e+06
reference_count_1,428505
reference_count_2,30488.7
reference_count_3,7584.6
reference_count_4,3571.88
reference_count_5,561.08
reference_count_6,215.415
reference_count_7,50.0965
Measured Counter Data
pump_current_sampling,42
pump_current_emptying,349
led_level,11485
no_noise_threshold,38
CALIBRATION DOCUMENT VALUES
date_,45793.4
serial_number_,1117100010
    RIG PARAMETERS
meas_init_level,12.44
calc_init_volume,12.44
desired_concentration,5
calc_qty_add,62.2
meas_qty_add,62.32
meas_final_level,12.44
calc_volume,12.44
calc_concentration,5.00965
rig_param_volume_mult,-1
rig_param_volume_constant,0
rig_param_identifier,303
rig_cleanliness_count,0
