product,LPA3 NAVAIR
    LPA SETTINGS
model_name,LPA3 NAVAIR
serial_number,63010047
option_bits,1072
x_option_bits,0
test_reference,LPA3 NAVAIR #63010047 CALIBRATE
threshold0, 72
threshold1, 174
threshold2, 966
threshold3, 1924
threshold4, 2694
threshold5, 5586
threshold6, 13132
threshold7, 23590
effective_slit_width,60
effective_slit_height,300
channel_width,750
divergence_milliradians,200
channel_depth,500
calibration_led_level_initial,11401
calibration_led_level_last,99.61
calibration_led_level_alarm,50
calibration_date_last,1779118242
calibration_date_next,1810654242
result_format,1
test_mode,0
wait_time_s,0
test_number,8
CycleCount,0
last_download,2147483648
time_stamp,0
source_drive,4095
continous_mode_confirm_target_n,0
flush_time_s,30
test_sequence,0
sample_portions,1
pump_target_flow_ml_min,30
pump_flow_emptying_ml_min,150
sample_volume_ml,50
pump_flush_volume_ml,20
pump_flow_flushing_ml_min,100
cml4_online_flush_ml,90
cml4_online_flush_ml_min,50
cml4_online_sample_ml,50
cml4_online_sample_ml_min,50
cml4_offline_flush_ml,40
cml4_offline_flush_ml_min,20
cml4_offline_sample_ml,40
cml4_offline_sample_ml_min,20
cml4_pump_leakage_ml_min,0
threshold32_0_value, 72
threshold32_1_value, 116
threshold32_2_value, 174
threshold32_3_value, 234
threshold32_4_value, 312
threshold32_5_value, 398
threshold32_6_value, 494
threshold32_7_value, 602
threshold32_8_value, 724
threshold32_9_value, 842
threshold32_10_value, 966
threshold32_11_value, 1092
threshold32_12_value, 1216
threshold32_13_value, 1346
threshold32_14_value, 1466
threshold32_15_value, 1600
threshold32_16_value, 1748
threshold32_17_value, 1924
threshold32_18_value, 2126
threshold32_19_value, 2318
threshold32_20_value, 2514
threshold32_21_value, 2694
threshold32_22_value, 2942
threshold32_23_value, 3166
threshold32_24_value, 3394
threshold32_25_value, 3586
threshold32_26_value, 3760
threshold32_27_value, 5586
threshold32_28_value, 13132
threshold32_29_value, 23590
threshold32_30_value, 23590
threshold32_31_value, 23590
threshold32_0_sz, 4
threshold32_1_sz, 5
threshold32_2_sz, 6
threshold32_3_sz, 7
threshold32_4_sz, 8
threshold32_5_sz, 9
threshold32_6_sz, 10
threshold32_7_sz, 11
threshold32_8_sz, 12
threshold32_9_sz, 13
threshold32_10_sz, 14
threshold32_11_sz, 15
threshold32_12_sz, 16
threshold32_13_sz, 17
